"Group.1","Group.2","Experimentname","gender","Experiment"
83,15,"ms1","M","ms1M inheritance"
56,14,"ms1","M","ms1M inheritance"
38,34,"mtsh","F","mtshF inheritance"
46,29,"mtsh","F","mtshF inheritance"
55,35,"mtsh","F","mtshF inheritance"
69,32,"mtsh","F","mtshF inheritance"
90,44,"mtsh","F","mtshF inheritance"
47,21,"mtsh","F","mtshF inheritance"
76,42,"mtsh","F","mtshF inheritance"
16,17,"mtsh","F","mtshF inheritance"
46,14,"mtsh","F","mtshF inheritance"
55,24,"mtsh","M","mtshM inheritance"
68,11,"mtsh","M","mtshM inheritance"
57,10,"mtsh","M","mtshM inheritance"
126,58,"mtsh","M","mtshM inheritance"
137,33,"mtsh","M","mtshM inheritance"
114,57,"mtsh","M","mtshM inheritance"
98,52,"mtsh","M","mtshM inheritance"
98,47,"mtsh","M","mtshM inheritance"
34,14,"mtsh","M","mtshM inheritance"
72,31,"mtsh","M","mtshM inheritance"
68,14,"nanos","F","nanosF inheritance"
92,12,"nanos","F","nanosF inheritance"
62,27,"nanos","F","nanosF inheritance"
79,15,"nanos","F","nanosF inheritance"
109,15,"nanos","F","nanosF inheritance"
95,15,"nanos","F","nanosF inheritance"
91,12,"nanos","F","nanosF inheritance"
74,11,"nanos","F","nanosF inheritance"
59,15,"nanos","F","nanosF inheritance"
102,26,"nanos","F","nanosF inheritance"
65,8,"nanos","M","nanosM inheritance"
72,47,"nanos","M","nanosM inheritance"
39,22,"nanos","M","nanosM inheritance"
55,36,"nanos","M","nanosM inheritance"
82,41,"nanos","M","nanosM inheritance"
49,42,"nanos","M","nanosM inheritance"
78,23,"pp1","F","pp1F inheritance"
56,3,"pp1","F","pp1F inheritance"
61,23,"pp1","F","pp1F inheritance"
48,12,"pp1","F","pp1F inheritance"
61,10,"pp1","F","pp1F inheritance"
52,29,"pp1","F","pp1F inheritance"
58,19,"pp1","F","pp1F inheritance"
27,12,"pp1","F","pp1F inheritance"
73,11,"pp1","F","pp1F inheritance"
29,14,"pp1","M","pp1M inheritance"
16,6,"pp1","M","pp1M inheritance"
96,17,"pp1","M","pp1M inheritance"
66,21,"pp1","M","pp1M inheritance"
77,23,"pp1","M","pp1M inheritance"
60,15,"pp1","M","pp1M inheritance"
94,49,"pp1","M","pp1M inheritance"
47,45,"pp1","M","pp1M inheritance"
59,13,"pp2","F","pp2F inheritance"
63,33,"pp2","F","pp2F inheritance"
84,33,"pp2","F","pp2F inheritance"
90,26,"pp2","F","pp2F inheritance"
31,20,"pp2","F","pp2F inheritance"
55,33,"pp2","F","pp2F inheritance"
74,29,"pp2","F","pp2F inheritance"
47,31,"pp2","F","pp2F inheritance"
59,19,"pp2","F","pp2F inheritance"
109,26,"pp2","M","pp2M inheritance"
67,24,"pp2","M","pp2M inheritance"
71,10,"pp2","M","pp2M inheritance"
22,3,"pp2","M","pp2M inheritance"
26,4,"pp2","M","pp2M inheritance"
59,7,"pp2","M","pp2M inheritance"
28,19,"pp2","M","pp2M inheritance"
138,22,"pp2","M","pp2M inheritance"
40,11,"pp2","M","pp2M inheritance"
3,1,"pp2","M","pp2M inheritance"
44,6,"pp3","F","pp3F inheritance"
95,13,"pp3","F","pp3F inheritance"
98,11,"pp3","F","pp3F inheritance"
48,17,"pp3","F","pp3F inheritance"
66,21,"pp3","F","pp3F inheritance"
58,17,"pp3","F","pp3F inheritance"
35,6,"pp3","F","pp3F inheritance"
32,6,"pp3","F","pp3F inheritance"
53,0,"pp3","F","pp3F inheritance"
43,46,"pp3","M","pp3M inheritance"
109,45,"pp3","M","pp3M inheritance"
56,21,"pp3","M","pp3M inheritance"
20,18,"pp3","M","pp3M inheritance"
87,55,"pp3","M","pp3M inheritance"
120,18,"pp3","M","pp3M inheritance"
58,30,"pp3","M","pp3M inheritance"
71,20,"pp3","M","pp3M inheritance"
73,30,"pp3","M","pp3M inheritance"
34,3,"pp4","F","pp4F inheritance"
36,12,"pp4","F","pp4F inheritance"
45,11,"pp4","F","pp4F inheritance"
4,0,"pp4","F","pp4F inheritance"
53,11,"pp4","F","pp4F inheritance"
80,14,"pp4","F","pp4F inheritance"
54,16,"pp4","F","pp4F inheritance"
70,16,"pp4","F","pp4F inheritance"
61,23,"pp4","F","pp4F inheritance"
54,25,"pp4","M","pp4M inheritance"
22,5,"pp4","M","pp4M inheritance"
71,19,"pp4","M","pp4M inheritance"
56,30,"pp4","M","pp4M inheritance"
54,15,"pp4","M","pp4M inheritance"
39,7,"pp4","M","pp4M inheritance"
133,18,"pp4","M","pp4M inheritance"
15,14,"pp4","M","pp4M inheritance"
102,25,"pp4","M","pp4M inheritance"
4,2,"pp4","M","pp4M inheritance"
16,0,"pp5","F","pp5F inheritance"
63,8,"pp5","F","pp5F inheritance"
29,9,"pp5","F","pp5F inheritance"
14,5,"pp5","F","pp5F inheritance"
42,10,"pp5","F","pp5F inheritance"
58,73,"pp5","M","pp5M inheritance"
100,48,"pp5","M","pp5M inheritance"
44,33,"pp5","M","pp5M inheritance"
104,55,"pp5","M","pp5M inheritance"
73,13,"pp5","M","pp5M inheritance"
26,6,"pp5","M","pp5M inheritance"
91,34,"pp5","M","pp5M inheritance"
27,7,"ps2","F","ps2F inheritance"
81,20,"ps2","F","ps2F inheritance"
66,18,"ps2","F","ps2F inheritance"
53,19,"ps2","F","ps2F inheritance"
63,16,"ps2","F","ps2F inheritance"
59,17,"ps2","F","ps2F inheritance"
94,15,"ps2","F","ps2F inheritance"
103,53,"ps2","M","ps2M inheritance"
134,28,"ps2","M","ps2M inheritance"
23,8,"ps2","M","ps2M inheritance"
35,13,"ps2","M","ps2M inheritance"
57,20,"ps2","M","ps2M inheritance"
61,21,"ps2","M","ps2M inheritance"
33,13,"ps2","M","ps2M inheritance"
107,29,"ps2","M","ps2M inheritance"
101,22,"ps2","M","ps2M inheritance"
121,30,"ps2","M","ps2M inheritance"
62,15,"ps3","F","ps3F inheritance"
60,11,"ps3","F","ps3F inheritance"
63,20,"ps3","F","ps3F inheritance"
29,8,"ps3","F","ps3F inheritance"
87,16,"ps3","F","ps3F inheritance"
70,24,"ps3","F","ps3F inheritance"
24,9,"ps3","F","ps3F inheritance"
72,26,"ps3","F","ps3F inheritance"
25,9,"ps3","F","ps3F inheritance"
95,41,"ps3","M","ps3M inheritance"
59,22,"ps3","M","ps3M inheritance"
73,36,"ps3","M","ps3M inheritance"
62,38,"ps3","M","ps3M inheritance"
96,14,"ps3","M","ps3M inheritance"
99,44,"ps3","M","ps3M inheritance"
76,27,"ps3","M","ps3M inheritance"
48,19,"ps3","M","ps3M inheritance"
37,5,"ps3","M","ps3M inheritance"
26,11,"rcd","F","rcdF inheritance"
54,19,"rcd","F","rcdF inheritance"
8,1,"rcd","F","rcdF inheritance"
60,25,"rcd","F","rcdF inheritance"
46,30,"rcd","F","rcdF inheritance"
87,21,"rcd","F","rcdF inheritance"
58,32,"rcd","F","rcdF inheritance"
45,21,"rcd","F","rcdF inheritance"
37,11,"rcd","F","rcdF inheritance"
51,20,"rcd","F","rcdF inheritance"
100,48,"rcd","M","rcdM inheritance"
66,22,"rcd","M","rcdM inheritance"
74,26,"rcd","M","rcdM inheritance"
41,12,"rcd","M","rcdM inheritance"
46,22,"rcd","M","rcdM inheritance"
62,30,"rcd","M","rcdM inheritance"
61,24,"rcd","M","rcdM inheritance"
26,8,"rcd","M","rcdM inheritance"
51,19,"rcd","M","rcdM inheritance"
54,28,"rcd","M","rcdM inheritance"
46,31,"RO3","F","RO3F inheritance"
51,16,"RO3","F","RO3F inheritance"
66,15,"RO3","F","RO3F inheritance"
57,13,"RO3","F","RO3F inheritance"
54,19,"RO3","F","RO3F inheritance"
48,24,"RO3","F","RO3F inheritance"
46,9,"RO3","F","RO3F inheritance"
52,35,"RO3","M","RO3M inheritance"
80,35,"RO3","M","RO3M inheritance"
88,38,"RO3","M","RO3M inheritance"
26,2,"RO3","M","RO3M inheritance"
54,17,"RO3","M","RO3M inheritance"
42,20,"RO3","M","RO3M inheritance"
52,27,"RO3","M","RO3M inheritance"
54,23,"RO3","M","RO3M inheritance"
66,7,"s02","F","s02F inheritance"
80,22,"s02","F","s02F inheritance"
82,8,"s02","F","s02F inheritance"
76,22,"s02","F","s02F inheritance"
74,10,"s02","F","s02F inheritance"
22,6,"s02","F","s02F inheritance"
66,19,"s02","F","s02F inheritance"
62,7,"s02","F","s02F inheritance"
24,1,"s02","F","s02F inheritance"
82,20,"s02","F","s02F inheritance"
83,50,"s02","M","s02M inheritance"
85,37,"s02","M","s02M inheritance"
106,31,"s02","M","s02M inheritance"
81,44,"s02","M","s02M inheritance"
60,21,"s02","M","s02M inheritance"
96,42,"s02","M","s02M inheritance"
62,23,"s02","M","s02M inheritance"
99,26,"shu","F","shuF inheritance"
89,13,"shu","F","shuF inheritance"
61,34,"shu","F","shuF inheritance"
67,25,"shu","F","shuF inheritance"
50,20,"shu","F","shuF inheritance"
80,15,"shu","F","shuF inheritance"
72,17,"shu","F","shuF inheritance"
66,55,"shu","F","shuF inheritance"
66,25,"shu","M","shuM inheritance"
93,41,"shu","M","shuM inheritance"
109,22,"shu","M","shuM inheritance"
53,28,"shu","M","shuM inheritance"
57,18,"shu","M","shuM inheritance"
67,24,"shu","M","shuM inheritance"
65,18,"shu","M","shuM inheritance"
104,26,"shu","M","shuM inheritance"
61,16,"shu","M","shuM inheritance"
90,25,"shu","M","shuM inheritance"
59,5,"sp0","F","sp0F inheritance"
45,11,"sp0","F","sp0F inheritance"
14,4,"sp0","F","sp0F inheritance"
10,4,"sp0","F","sp0F inheritance"
60,26,"sp0","F","sp0F inheritance"
102,13,"sp0","F","sp0F inheritance"
78,30,"sp0","F","sp0F inheritance"
13,7,"sp0","F","sp0F inheritance"
61,23,"sp0","F","sp0F inheritance"
17,14,"sp0","F","sp0F inheritance"
51,16,"sp0","M","sp0M inheritance"
72,33,"sp0","M","sp0M inheritance"
58,24,"sp0","M","sp0M inheritance"
9,8,"sp0","M","sp0M inheritance"
41,26,"sp0","M","sp0M inheritance"
91,38,"sp0","M","sp0M inheritance"
41,26,"sp0","M","sp0M inheritance"
77,44,"sp0","M","sp0M inheritance"
27,16,"sp0","M","sp0M inheritance"
29,10,"sp0","M","sp0M inheritance"
24,3,"sp1","F","sp1F inheritance"
69,17,"sp1","F","sp1F inheritance"
12,1,"sp1","F","sp1F inheritance"
78,19,"sp1","F","sp1F inheritance"
18,6,"sp1","F","sp1F inheritance"
65,15,"sp1","F","sp1F inheritance"
96,12,"sp1","F","sp1F inheritance"
84,12,"sp1","F","sp1F inheritance"
76,27,"sp1","M","sp1M inheritance"
132,47,"sp1","M","sp1M inheritance"
42,27,"sp1","M","sp1M inheritance"
34,17,"sp1","M","sp1M inheritance"
78,37,"sp1","M","sp1M inheritance"
129,22,"sp1","M","sp1M inheritance"
88,37,"sp1","M","sp1M inheritance"
13,3,"sp1","M","sp1M inheritance"
67,44,"sp1","M","sp1M inheritance"
107,51,"sp1","M","sp1M inheritance"
60,20,"sp2","F","sp2F inheritance"
43,16,"sp2","F","sp2F inheritance"
40,29,"sp2","F","sp2F inheritance"
50,16,"sp2","F","sp2F inheritance"
50,12,"sp2","F","sp2F inheritance"
57,34,"sp2","F","sp2F inheritance"
59,20,"sp2","F","sp2F inheritance"
71,22,"sp2","F","sp2F inheritance"
107,36,"sp2","M","sp2M inheritance"
1,1,"sp2","M","sp2M inheritance"
77,21,"sp2","M","sp2M inheritance"
60,28,"sp2","M","sp2M inheritance"
31,16,"sp2","M","sp2M inheritance"
60,25,"sp2","M","sp2M inheritance"
93,26,"sp2","M","sp2M inheritance"
31,4,"sp2","M","sp2M inheritance"
103,30,"sp2","M","sp2M inheritance"
54,12,"sp2","M","sp2M inheritance"
42,50,"sp3_2","F","sp3_2F inheritance"
42,73,"sp3_2","F","sp3_2F inheritance"
48,49,"sp3_2","F","sp3_2F inheritance"
71,70,"sp3_2","F","sp3_2F inheritance"
31,30,"sp3_2","F","sp3_2F inheritance"
53,43,"sp3_2","F","sp3_2F inheritance"
62,62,"sp3_2","F","sp3_2F inheritance"
59,55,"sp3_2","M","sp3_2M inheritance"
7,4,"sp3_2","M","sp3_2M inheritance"
38,21,"sp3_2","M","sp3_2M inheritance"
53,52,"sp3_2","M","sp3_2M inheritance"
53,60,"sp3_2","M","sp3_2M inheritance"
34,30,"sp3_2","M","sp3_2M inheritance"
15,9,"sp3_2","M","sp3_2M inheritance"
19,25,"sp3_2","M","sp3_2M inheritance"
54,16,"sp3","F","sp3F inheritance"
62,13,"sp3","F","sp3F inheritance"
106,26,"sp3","F","sp3F inheritance"
91,20,"sp3","F","sp3F inheritance"
69,12,"sp3","F","sp3F inheritance"
62,14,"sp3","F","sp3F inheritance"
54,10,"sp3","F","sp3F inheritance"
71,8,"sp3","F","sp3F inheritance"
66,15,"sp3","F","sp3F inheritance"
4,2,"sp3","F","sp3F inheritance"
28,8,"sp3","M","sp3M inheritance"
34,11,"sp3","M","sp3M inheritance"
81,19,"sp3","M","sp3M inheritance"
64,29,"sp3","M","sp3M inheritance"
64,23,"sp3","M","sp3M inheritance"
66,46,"sp3","M","sp3M inheritance"
19,4,"sp3","M","sp3M inheritance"
37,23,"sp4","F","sp4F inheritance"
39,36,"sp4","F","sp4F inheritance"
52,38,"sp4","F","sp4F inheritance"
32,31,"sp4","F","sp4F inheritance"
50,48,"sp4","F","sp4F inheritance"
8,6,"sp4","F","sp4F inheritance"
32,34,"sp4","F","sp4F inheritance"
61,59,"sp4","M","sp4M inheritance"
38,35,"sp4","M","sp4M inheritance"
76,61,"sp4","M","sp4M inheritance"
17,12,"sp4","M","sp4M inheritance"
53,42,"sp4","M","sp4M inheritance"
25,26,"sp4","M","sp4M inheritance"
43,40,"sp4","M","sp4M inheritance"
48,44,"sp4","M","sp4M inheritance"
55,51,"sp4","M","sp4M inheritance"
54,53,"sp4","M","sp4M inheritance"
45,44,"sp5","F","sp5F inheritance"
69,59,"sp5","F","sp5F inheritance"
38,43,"sp5","F","sp5F inheritance"
42,34,"sp5","F","sp5F inheritance"
52,38,"sp5","F","sp5F inheritance"
51,31,"sp5","F","sp5F inheritance"
32,33,"sp5","F","sp5F inheritance"
31,35,"sp5","F","sp5F inheritance"
28,23,"sp5","M","sp5M inheritance"
48,54,"sp5","M","sp5M inheritance"
12,10,"sp5","M","sp5M inheritance"
13,15,"sp5","M","sp5M inheritance"
40,23,"sp5","M","sp5M inheritance"
55,56,"sp5","M","sp5M inheritance"
3,2,"sp5","M","sp5M inheritance"
35,21,"sp5","M","sp5M inheritance"
23,16,"sp5","M","sp5M inheritance"
61,34,"spL","F","spLF inheritance"
38,12,"spL","F","spLF inheritance"
47,22,"spL","F","spLF inheritance"
44,11,"spL","F","spLF inheritance"
61,34,"spL","F","spLF inheritance"
84,26,"spL","F","spLF inheritance"
65,30,"spL","F","spLF inheritance"
93,38,"spL","F","spLF inheritance"
77,23,"spL","F","spLF inheritance"
44,28,"spL","M","spLM inheritance"
91,61,"spL","M","spLM inheritance"
53,35,"spL","M","spLM inheritance"
74,56,"spL","M","spLM inheritance"
46,29,"spL","M","spLM inheritance"
45,39,"spL","M","spLM inheritance"
69,49,"spL","M","spLM inheritance"
32,21,"spL","M","spLM inheritance"
75,60,"spL","M","spLM inheritance"
50,34,"spL","M","spLM inheritance"
21,20,"tej","F","tejF inheritance"
43,9,"tej","F","tejF inheritance"
9,3,"tej","F","tejF inheritance"
67,6,"tej","F","tejF inheritance"
42,11,"tej","F","tejF inheritance"
22,4,"tej","F","tejF inheritance"
62,15,"tej","F","tejF inheritance"
37,9,"tej","F","tejF inheritance"
46,15,"tej","F","tejF inheritance"
35,9,"tej","F","tejF inheritance"
27,15,"tej","M","tejM inheritance"
57,14,"tej","M","tejM inheritance"
104,55,"tej","M","tejM inheritance"
85,41,"tej","M","tejM inheritance"
29,26,"tej","M","tejM inheritance"
42,26,"tej","M","tejM inheritance"
36,16,"tej","M","tejM inheritance"
67,27,"tej","M","tejM inheritance"
14,9,"ubi","F","ubiF inheritance"
118,13,"ubi","F","ubiF inheritance"
3,1,"ubi","F","ubiF inheritance"
1,0,"ubi","F","ubiF inheritance"
33,8,"ubi","F","ubiF inheritance"
24,36,"ubi","F","ubiF inheritance"
21,2,"ubi","F","ubiF inheritance"
20,7,"ubi","F","ubiF inheritance"
8,1,"ubi","F","ubiF inheritance"
62,0,"ubi","F","ubiF inheritance"
28,11,"ubi","F","ubiF inheritance"
51,16,"ubi","F","ubiF inheritance"
16,2,"ubi","F","ubiF inheritance"
59,16,"ubi","F","ubiF inheritance"
63,8,"ubi","F","ubiF inheritance"
78,7,"ubi","F","ubiF inheritance"
61,15,"ubi","F","ubiF inheritance"
34,5,"ubi","F","ubiF inheritance"
47,22,"ubi","F","ubiF inheritance"
61,63,"ubi","M","ubiM inheritance"
13,7,"ubi","M","ubiM inheritance"
16,24,"ubi","M","ubiM inheritance"
68,69,"ubi","M","ubiM inheritance"
32,35,"ubi","M","ubiM inheritance"
48,26,"ubi","M","ubiM inheritance"
64,62,"ubi","M","ubiM inheritance"
79,61,"ubi","M","ubiM inheritance"
70,39,"ubi","M","ubiM inheritance"
65,46,"ubi","M","ubiM inheritance"
29,21,"ubi","M","ubiM inheritance"
41,32,"ubi","M","ubiM inheritance"
50,16,"ubi","M","ubiM inheritance"
27,47,"ubi","M","ubiM inheritance"
48,25,"ubi","M","ubiM inheritance"
42,31,"ubi","M","ubiM inheritance"
19,24,"ubi","M","ubiM inheritance"
55,28,"ubi","M","ubiM inheritance"
19,20,"ubi","M","ubiM inheritance"
58,58,"ubi","M","ubiM inheritance"
52,34,"ubi","M","ubiM inheritance"
31,29,"ubi","M","ubiM inheritance"
42,39,"ubi","M","ubiM inheritance"
91,57,"ubi","M","ubiM inheritance"
31,40,"ubi","M","ubiM inheritance"
37,24,"ubi","M","ubiM inheritance"
60,11,"vas","F","vasF inheritance"
76,13,"vas","F","vasF inheritance"
62,11,"vas","F","vasF inheritance"
78,23,"vas","F","vasF inheritance"
67,16,"vas","F","vasF inheritance"
52,18,"vas","F","vasF inheritance"
51,24,"vas","F","vasF inheritance"
80,49,"vas","M","vasM inheritance"
51,16,"vas","M","vasM inheritance"
82,48,"vas","M","vasM inheritance"
50,19,"vas","M","vasM inheritance"
104,23,"vas","M","vasM inheritance"
68,45,"vas","M","vasM inheritance"
78,58,"vas","M","vasM inheritance"
77,53,"vas","M","vasM inheritance"
78,25,"vas","M","vasM inheritance"
57,9,"zpg","F","zpgF inheritance"
46,9,"zpg","F","zpgF inheritance"
69,9,"zpg","F","zpgF inheritance"
78,9,"zpg","F","zpgF inheritance"
60,19,"zpg","F","zpgF inheritance"
46,7,"zpg","F","zpgF inheritance"
