Group.1,Group.2,Experiment
4,1,FBgn0004650 embryo
11,4,FBgn0004650 embryo
3,0,FBgn0004650 embryo
68,19,FBgn0005390 inheritance
53,28,FBgn0005390 inheritance
78,22,FBgn0005390 inheritance
37,15,FBgn0005390 inheritance
59,20,FBgn0005390 inheritance
75,36,FBgn0005390 inheritance
47,24,FBgn0005390 inheritance
57,17,FBgn0005390 inheritance
68,24,FBgn0005390 inheritance
62,22,FBgn0005390 inheritance
55,26,FBgn0005390 inheritance
43,19,FBgn0005390 inheritance
47,16,FBgn0005390 inheritance
66,16,FBgn0005390 inheritance
42,22,FBgn0005390 inheritance
54,27,FBgn0005390 inheritance
46,24,FBgn0005390 inheritance
33,15,FBgn0005390 inheritance
41,6,FBgn0005390 inheritance
4,37,FBgn0005390 Gresistance
19,28,FBgn0005390 Gresistance
9,43,FBgn0005390 Gresistance
4,25,FBgn0005390 Gresistance
10,33,FBgn0005390 Gresistance
22,40,FBgn0005390 Gresistance
12,24,FBgn0005390 Gresistance
11,31,FBgn0005390 Gresistance
8,38,FBgn0005390 Gresistance
9,41,FBgn0005390 Gresistance
4,36,FBgn0005390 Gresistance
9,25,FBgn0005390 Gresistance
11,27,FBgn0005390 Gresistance
7,29,FBgn0005390 Gresistance
7,20,FBgn0005390 Gresistance
13,27,FBgn0005390 Gresistance
12,22,FBgn0005390 Gresistance
9,19,FBgn0005390 Gresistance
5,18,FBgn0005390 Gresistance
12,1,FBgn0005390 embryo
11,6,FBgn0005390 embryo
9,7,FBgn0005390 embryo
4,2,FBgn0005390 embryo
14,4,FBgn0005390 embryo
16,4,FBgn0005390 embryo
10,5,FBgn0005390 embryo
10,5,FBgn0005390 embryo
8,4,FBgn0005390 embryo
13,0,FBgn0005390 embryo
3,16,FBgn0005390 embryo
9,0,FBgn0005390 embryo
10,2,FBgn0005390 embryo
11,6,FBgn0005390 embryo
8,3,FBgn0005390 embryo
7,5,FBgn0005390 embryo
11,3,FBgn0005390 embryo
6,2,FBgn0005390 embryo
7,1,FBgn0005390 embryo
33,0,FBgn0028852 inheritance
66,15,FBgn0028852 inheritance
94,10,FBgn0028852 inheritance
84,22,FBgn0028852 inheritance
85,20,FBgn0028852 inheritance
47,2,FBgn0028852 inheritance
63,4,FBgn0028852 inheritance
60,18,FBgn0028852 inheritance
40,8,FBgn0028852 inheritance
74,18,FBgn0028852 inheritance
111,17,FBgn0028852 inheritance
73,23,FBgn0028852 inheritance
62,20,FBgn0028852 inheritance
98,28,FBgn0028852 inheritance
102,6,FBgn0028852 inheritance
20,1,FBgn0028852 inheritance
60,19,FBgn0028852 inheritance
87,18,FBgn0028852 inheritance
50,15,FBgn0028852 inheritance
106,18,FBgn0028852 inheritance
80,16,FBgn0028852 inheritance
67,11,FBgn0028852 inheritance
48,6,FBgn0028852 inheritance
56,12,FBgn0028852 inheritance
25,12,FBgn0028852 inheritance
88,10,FBgn0028852 inheritance
73,14,FBgn0028852 inheritance
93,9,FBgn0028852 inheritance
104,28,FBgn0028852 inheritance
101,23,FBgn0028852 inheritance
28,2,FBgn0028852 inheritance
0,18,FBgn0028852 Gresistance
6,34,FBgn0028852 Gresistance
8,47,FBgn0028852 Gresistance
8,48,FBgn0028852 Gresistance
12,46,FBgn0028852 Gresistance
1,29,FBgn0028852 Gresistance
1,36,FBgn0028852 Gresistance
4,40,FBgn0028852 Gresistance
3,17,FBgn0028852 Gresistance
