Group.1,Group.2,Experiment
0,14,FBgn0031074 embryo
0,14,FBgn0031074 embryo
0,35,FBgn0031074 embryo
0,20,FBgn0031074 embryo
0,28,FBgn0031074 embryo
0,19,FBgn0031074 embryo
0,11,FBgn0031074 embryo
0,8,FBgn0031074 embryo
0,32,FBgn0031074 embryo
1,2,FBgn0031074 embryo
0,9,FBgn0031074 embryo
0,22,FBgn0031074 embryo
0,26,FBgn0031074 embryo
0,7,FBgn0031074 embryo
0,11,FBgn0031074 embryo
0,12,FBgn0031074 embryo
0,16,FBgn0031074 embryo
0,17,FBgn0031074 embryo
0,18,FBgn0031074 embryo
0,3,FBgn0031074 embryo
0,10,FBgn0031074 embryo
1,3,FBgn0031074 embryo
0,10,FBgn0031074 embryo
0,13,FBgn0031074 embryo
0,8,FBgn0031074 embryo
0,22,FBgn0031074 embryo
1,6,FBgn0031074 embryo
0,13,FBgn0031074 embryo
0,17,FBgn0031074 embryo
40,8,FBgn0031620 inheritance
79,10,FBgn0031620 inheritance
63,11,FBgn0031620 inheritance
49,9,FBgn0031620 inheritance
40,9,FBgn0031620 inheritance
66,10,FBgn0031620 inheritance
71,3,FBgn0031620 inheritance
38,7,FBgn0031620 inheritance
89,24,FBgn0031620 inheritance
33,6,FBgn0031620 inheritance
19,5,FBgn0031620 inheritance
73,8,FBgn0031620 inheritance
94,35,FBgn0031620 inheritance
97,21,FBgn0031620 inheritance
76,22,FBgn0031620 inheritance
30,9,FBgn0031620 inheritance
43,6,FBgn0031620 inheritance
80,25,FBgn0031620 inheritance
89,18,FBgn0031620 inheritance
80,12,FBgn0031620 inheritance
18,2,FBgn0031620 inheritance
38,1,FBgn0031620 inheritance
60,11,FBgn0031620 inheritance
71,20,FBgn0031620 inheritance
115,13,FBgn0031620 inheritance
81,18,FBgn0031620 inheritance
72,11,FBgn0031620 inheritance
78,10,FBgn0031620 inheritance
42,7,FBgn0031620 inheritance
39,2,FBgn0031620 inheritance
1,20,FBgn0031620 Gresistance
5,38,FBgn0031620 Gresistance
6,31,FBgn0031620 Gresistance
6,25,FBgn0031620 Gresistance
2,21,FBgn0031620 Gresistance
5,33,FBgn0031620 Gresistance
1,33,FBgn0031620 Gresistance
0,16,FBgn0031620 Gresistance
12,41,FBgn0031620 Gresistance
3,15,FBgn0031620 Gresistance
1,10,FBgn0031620 Gresistance
4,44,FBgn0031620 Gresistance
11,54,FBgn0031620 Gresistance
9,53,FBgn0031620 Gresistance
9,41,FBgn0031620 Gresistance
5,12,FBgn0031620 Gresistance
1,20,FBgn0031620 Gresistance
13,35,FBgn0031620 Gresistance
9,49,FBgn0031620 Gresistance
4,45,FBgn0031620 Gresistance
0,3,FBgn0031620 Gresistance
1,12,FBgn0031620 Gresistance
5,28,FBgn0031620 Gresistance
7,38,FBgn0031620 Gresistance
5,50,FBgn0031620 Gresistance
9,45,FBgn0031620 Gresistance
4,34,FBgn0031620 Gresistance
5,41,FBgn0031620 Gresistance
1,18,FBgn0031620 Gresistance
2,10,FBgn0031620 Gresistance
3,6,FBgn0031620 embryo
9,16,FBgn0031620 embryo
8,8,FBgn0031620 embryo
2,6,FBgn0031620 embryo
1,6,FBgn0031620 embryo
11,9,FBgn0031620 embryo
7,9,FBgn0031620 embryo
7,4,FBgn0031620 embryo
11,11,FBgn0031620 embryo
6,6,FBgn0031620 embryo
1,0,FBgn0031620 embryo
7,10,FBgn0031620 embryo
8,14,FBgn0031620 embryo
11,8,FBgn0031620 embryo
8,3,FBgn0031620 embryo
5,2,FBgn0031620 embryo
4,7,FBgn0031620 embryo
9,10,FBgn0031620 embryo
9,11,FBgn0031620 embryo
4,5,FBgn0031620 embryo
2,5,FBgn0031620 embryo
7,8,FBgn0031620 embryo
5,11,FBgn0031620 embryo
6,12,FBgn0031620 embryo
19,12,FBgn0031620 embryo
10,9,FBgn0031620 embryo
8,10,FBgn0031620 embryo
12,9,FBgn0031620 embryo
11,6,FBgn0031620 embryo
3,10,FBgn0031620 embryo
47,13,FBgn0033921 inheritance
61,8,FBgn0033921 inheritance
32,2,FBgn0033921 inheritance
25,2,FBgn0033921 inheritance
57,7,FBgn0033921 inheritance
57,9,FBgn0033921 inheritance
11,5,FBgn0033921 inheritance
53,4,FBgn0033921 inheritance
28,6,FBgn0033921 inheritance
61,10,FBgn0033921 inheritance
4,0,FBgn0033921 inheritance
37,9,FBgn0033921 inheritance
53,10,FBgn0033921 inheritance
49,10,FBgn0033921 inheritance
19,2,FBgn0033921 inheritance
47,2,FBgn0033921 inheritance
61,3,FBgn0033921 inheritance
74,8,FBgn0033921 inheritance
76,13,FBgn0033921 inheritance
66,9,FBgn0033921 inheritance
11,1,FBgn0033921 inheritance
4,22,FBgn0033921 Gresistance
3,33,FBgn0033921 Gresistance
2,15,FBgn0033921 Gresistance
2,14,FBgn0033921 Gresistance
6,19,FBgn0033921 Gresistance
3,31,FBgn0033921 Gresistance
0,1,FBgn0033921 Gresistance
2,25,FBgn0033921 Gresistance
2,10,FBgn0033921 Gresistance
7,31,FBgn0033921 Gresistance
0,0,FBgn0033921 Gresistance
4,21,FBgn0033921 Gresistance
7,32,FBgn0033921 Gresistance
4,23,FBgn0033921 Gresistance
0,7,FBgn0033921 Gresistance
0,23,FBgn0033921 Gresistance
1,30,FBgn0033921 Gresistance
4,34,FBgn0033921 Gresistance
5,46,FBgn0033921 Gresistance
6,37,FBgn0033921 Gresistance
0,5,FBgn0033921 Gresistance
9,4,FBgn0033921 embryo
12,1,FBgn0033921 embryo
7,1,FBgn0033921 embryo
1,1,FBgn0033921 embryo
15,1,FBgn0033921 embryo
14,0,FBgn0033921 embryo
5,1,FBgn0033921 embryo
10,5,FBgn0033921 embryo
4,4,FBgn0033921 embryo
16,0,FBgn0033921 embryo
3,0,FBgn0033921 embryo
5,1,FBgn0033921 embryo
9,2,FBgn0033921 embryo
8,0,FBgn0033921 embryo
6,0,FBgn0033921 embryo
15,1,FBgn0033921 embryo
7,1,FBgn0033921 embryo
20,0,FBgn0033921 embryo
15,2,FBgn0033921 embryo
11,3,FBgn0033921 embryo
2,0,FBgn0033921 embryo
64,34,FBgn0033979 inheritance
65,51,FBgn0033979 inheritance
51,34,FBgn0033979 inheritance
45,34,FBgn0033979 inheritance
61,40,FBgn0033979 inheritance
58,46,FBgn0033979 inheritance
48,29,FBgn0033979 inheritance
61,44,FBgn0033979 inheritance
33,23,FBgn0033979 inheritance
47,24,FBgn0033979 inheritance
42,36,FBgn0033979 inheritance
20,10,FBgn0033979 inheritance
27,19,FBgn0033979 inheritance
48,40,FBgn0033979 inheritance
25,11,FBgn0033979 inheritance
33,18,FBgn0033979 inheritance
60,47,FBgn0033979 inheritance
39,25,FBgn0033979 inheritance
48,37,FBgn0033979 inheritance
56,28,FBgn0033979 inheritance
70,38,FBgn0033979 inheritance
79,27,FBgn0033979 inheritance
33,24,FBgn0033979 inheritance
59,31,FBgn0033979 inheritance
45,27,FBgn0033979 inheritance
57,23,FBgn0033979 inheritance
66,26,FBgn0033979 inheritance
54,43,FBgn0033979 inheritance
82,42,FBgn0033979 inheritance
18,32,FBgn0033979 Gresistance
25,34,FBgn0033979 Gresistance
12,31,FBgn0033979 Gresistance
14,20,FBgn0033979 Gresistance
19,34,FBgn0033979 Gresistance
17,33,FBgn0033979 Gresistance
17,29,FBgn0033979 Gresistance
21,36,FBgn0033979 Gresistance
12,23,FBgn0033979 Gresistance
12,30,FBgn0033979 Gresistance
17,31,FBgn0033979 Gresistance
6,15,FBgn0033979 Gresistance
9,14,FBgn0033979 Gresistance
20,26,FBgn0033979 Gresistance
7,12,FBgn0033979 Gresistance
7,18,FBgn0033979 Gresistance
18,34,FBgn0033979 Gresistance
10,30,FBgn0033979 Gresistance
17,25,FBgn0033979 Gresistance
15,30,FBgn0033979 Gresistance
20,40,FBgn0033979 Gresistance
11,53,FBgn0033979 Gresistance
8,19,FBgn0033979 Gresistance
19,43,FBgn0033979 Gresistance
13,23,FBgn0033979 Gresistance
14,34,FBgn0033979 Gresistance
10,40,FBgn0033979 Gresistance
24,23,FBgn0033979 Gresistance
16,43,FBgn0033979 Gresistance
12,1,FBgn0033979 embryo
13,2,FBgn0033979 embryo
6,2,FBgn0033979 embryo
7,0,FBgn0033979 embryo
14,2,FBgn0033979 embryo
13,2,FBgn0033979 embryo
11,1,FBgn0033979 embryo
5,8,FBgn0033979 embryo
6,0,FBgn0033979 embryo
6,2,FBgn0033979 embryo
9,0,FBgn0033979 embryo
2,1,FBgn0033979 embryo
5,3,FBgn0033979 embryo
11,2,FBgn0033979 embryo
5,1,FBgn0033979 embryo
6,5,FBgn0033979 embryo
6,10,FBgn0033979 embryo
3,3,FBgn0033979 embryo
6,4,FBgn0033979 embryo
11,3,FBgn0033979 embryo
4,7,FBgn0033979 embryo
16,0,FBgn0033979 embryo
3,1,FBgn0033979 embryo
7,1,FBgn0033979 embryo
6,0,FBgn0033979 embryo
10,5,FBgn0033979 embryo
12,1,FBgn0033979 embryo
5,2,FBgn0033979 embryo
16,5,FBgn0033979 embryo
11,6,FBgn0034724 inheritance
53,25,FBgn0034724 inheritance
16,11,FBgn0034724 inheritance
16,10,FBgn0034724 inheritance
5,4,FBgn0034724 inheritance
13,11,FBgn0034724 inheritance
14,8,FBgn0034724 inheritance
9,5,FBgn0034724 inheritance
4,1,FBgn0034724 inheritance
6,7,FBgn0034724 inheritance
11,9,FBgn0034724 inheritance
9,3,FBgn0034724 inheritance
23,17,FBgn0034724 inheritance
10,3,FBgn0034724 inheritance
27,14,FBgn0034724 inheritance
24,11,FBgn0034724 inheritance
16,13,FBgn0034724 inheritance
32,11,FBgn0034724 inheritance
18,16,FBgn0034724 inheritance
36,18,FBgn0034724 inheritance
13,4,FBgn0034724 inheritance
34,10,FBgn0034724 inheritance
7,0,FBgn0034724 inheritance
22,17,FBgn0034724 inheritance
11,3,FBgn0034724 inheritance
15,7,FBgn0034724 inheritance
14,17,FBgn0034724 inheritance
7,9,FBgn0034724 inheritance
12,12,FBgn0034724 inheritance
1,2,FBgn0034724 inheritance
0,2,FBgn0034724 Gresistance
1,32,FBgn0034724 Gresistance
0,11,FBgn0034724 Gresistance
1,11,FBgn0034724 Gresistance
0,4,FBgn0034724 Gresistance
0,9,FBgn0034724 Gresistance
3,1,FBgn0034724 Gresistance
0,4,FBgn0034724 Gresistance
0,0,FBgn0034724 Gresistance
0,1,FBgn0034724 Gresistance
0,6,FBgn0034724 Gresistance
0,0,FBgn0034724 Gresistance
0,14,FBgn0034724 Gresistance
0,2,FBgn0034724 Gresistance
0,10,FBgn0034724 Gresistance
1,12,FBgn0034724 Gresistance
2,18,FBgn0034724 Gresistance
0,12,FBgn0034724 Gresistance
1,5,FBgn0034724 Gresistance
1,18,FBgn0034724 Gresistance
0,1,FBgn0034724 Gresistance
0,13,FBgn0034724 Gresistance
0,0,FBgn0034724 Gresistance
1,14,FBgn0034724 Gresistance
0,4,FBgn0034724 Gresistance
1,3,FBgn0034724 Gresistance
1,14,FBgn0034724 Gresistance
1,6,FBgn0034724 Gresistance
2,11,FBgn0034724 Gresistance
0,0,FBgn0034724 Gresistance
53,6,FBgn0034837 inheritance
133,18,FBgn0034837 inheritance
61,5,FBgn0034837 inheritance
80,1,FBgn0034837 inheritance
82,10,FBgn0034837 inheritance
73,12,FBgn0034837 inheritance
18,0,FBgn0034837 inheritance
53,4,FBgn0034837 inheritance
10,4,FBgn0034837 inheritance
58,12,FBgn0034837 inheritance
94,9,FBgn0034837 inheritance
49,12,FBgn0034837 inheritance
76,13,FBgn0034837 inheritance
68,4,FBgn0034837 inheritance
76,0,FBgn0034837 inheritance
37,16,FBgn0034837 inheritance
17,2,FBgn0034837 inheritance
44,1,FBgn0034837 inheritance
80,9,FBgn0034837 inheritance
19,1,FBgn0034837 inheritance
72,15,FBgn0034837 inheritance
39,1,FBgn0034837 inheritance
64,3,FBgn0034837 inheritance
37,2,FBgn0034837 inheritance
31,3,FBgn0034837 inheritance
82,11,FBgn0034837 inheritance
111,17,FBgn0034837 inheritance
72,19,FBgn0034837 inheritance
121,12,FBgn0034837 inheritance
13,2,FBgn0034837 inheritance
80,12,FBgn0034837 inheritance
94,9,FBgn0034837 inheritance
73,12,FBgn0034837 inheritance
31,8,FBgn0034837 inheritance
2,26,FBgn0034837 Gresistance
9,67,FBgn0034837 Gresistance
2,35,FBgn0034837 Gresistance
1,27,FBgn0034837 Gresistance
6,43,FBgn0034837 Gresistance
7,35,FBgn0034837 Gresistance
0,12,FBgn0034837 Gresistance
1,25,FBgn0034837 Gresistance
3,6,FBgn0034837 Gresistance
6,24,FBgn0034837 Gresistance
3,47,FBgn0034837 Gresistance
6,25,FBgn0034837 Gresistance
6,36,FBgn0034837 Gresistance
1,36,FBgn0034837 Gresistance
0,40,FBgn0034837 Gresistance
8,18,FBgn0034837 Gresistance
0,5,FBgn0034837 Gresistance
0,19,FBgn0034837 Gresistance
5,44,FBgn0034837 Gresistance
0,9,FBgn0034837 Gresistance
5,39,FBgn0034837 Gresistance
0,20,FBgn0034837 Gresistance
1,35,FBgn0034837 Gresistance
0,11,FBgn0034837 Gresistance
1,12,FBgn0034837 Gresistance
4,45,FBgn0034837 Gresistance
10,62,FBgn0034837 Gresistance
8,40,FBgn0034837 Gresistance
3,62,FBgn0034837 Gresistance
1,6,FBgn0034837 Gresistance
8,42,FBgn0034837 Gresistance
1,53,FBgn0034837 Gresistance
6,37,FBgn0034837 Gresistance
6,17,FBgn0034837 Gresistance
13,2,FBgn0034837 embryo
35,0,FBgn0034837 embryo
12,1,FBgn0034837 embryo
24,1,FBgn0034837 embryo
7,11,FBgn0034837 embryo
18,3,FBgn0034837 embryo
3,0,FBgn0034837 embryo
5,6,FBgn0034837 embryo
0,1,FBgn0034837 embryo
15,0,FBgn0034837 embryo
25,3,FBgn0034837 embryo
12,1,FBgn0034837 embryo
15,2,FBgn0034837 embryo
15,0,FBgn0034837 embryo
18,0,FBgn0034837 embryo
9,4,FBgn0034837 embryo
5,0,FBgn0034837 embryo
7,9,FBgn0034837 embryo
9,6,FBgn0034837 embryo
2,1,FBgn0034837 embryo
19,0,FBgn0034837 embryo
6,1,FBgn0034837 embryo
13,3,FBgn0034837 embryo
10,2,FBgn0034837 embryo
9,3,FBgn0034837 embryo
19,1,FBgn0034837 embryo
20,2,FBgn0034837 embryo
12,2,FBgn0034837 embryo
27,2,FBgn0034837 embryo
3,0,FBgn0034837 embryo
21,0,FBgn0034837 embryo
24,1,FBgn0034837 embryo
11,4,FBgn0034837 embryo
5,0,FBgn0034837 embryo
87,9,FBgn0034998 inheritance
124,16,FBgn0034998 inheritance
72,18,FBgn0034998 inheritance
52,26,FBgn0034998 inheritance
48,10,FBgn0034998 inheritance
54,17,FBgn0034998 inheritance
33,8,FBgn0034998 inheritance
78,21,FBgn0034998 inheritance
64,23,FBgn0034998 inheritance
48,25,FBgn0034998 inheritance
15,1,FBgn0034998 inheritance
68,20,FBgn0034998 inheritance
13,4,FBgn0034998 inheritance
75,39,FBgn0034998 inheritance
47,13,FBgn0034998 inheritance
29,14,FBgn0034998 inheritance
60,19,FBgn0034998 inheritance
65,19,FBgn0034998 inheritance
65,25,FBgn0034998 inheritance
96,22,FBgn0034998 inheritance
36,19,FBgn0034998 inheritance
98,15,FBgn0034998 inheritance
65,16,FBgn0034998 inheritance
14,9,FBgn0034998 inheritance
1,43,FBgn0034998 Gresistance
8,64,FBgn0034998 Gresistance
9,39,FBgn0034998 Gresistance
7,32,FBgn0034998 Gresistance
2,27,FBgn0034998 Gresistance
7,28,FBgn0034998 Gresistance
0,12,FBgn0034998 Gresistance
6,31,FBgn0034998 Gresistance
4,39,FBgn0034998 Gresistance
7,28,FBgn0034998 Gresistance
1,8,FBgn0034998 Gresistance
6,40,FBgn0034998 Gresistance
2,7,FBgn0034998 Gresistance
12,38,FBgn0034998 Gresistance
2,24,FBgn0034998 Gresistance
2,11,FBgn0034998 Gresistance
7,30,FBgn0034998 Gresistance
7,31,FBgn0034998 Gresistance
4,39,FBgn0034998 Gresistance
5,50,FBgn0034998 Gresistance
4,21,FBgn0034998 Gresistance
2,49,FBgn0034998 Gresistance
4,42,FBgn0034998 Gresistance
3,4,FBgn0034998 Gresistance
17,10,FBgn0035861 inheritance
26,20,FBgn0035861 inheritance
35,22,FBgn0035861 inheritance
73,42,FBgn0035861 inheritance
31,8,FBgn0035861 inheritance
84,46,FBgn0035861 inheritance
68,51,FBgn0035861 inheritance
68,33,FBgn0035861 inheritance
78,46,FBgn0035861 inheritance
68,61,FBgn0035861 inheritance
13,10,FBgn0035861 inheritance
35,37,FBgn0035861 inheritance
61,42,FBgn0035861 inheritance
46,46,FBgn0035861 inheritance
37,27,FBgn0035861 inheritance
38,28,FBgn0035861 inheritance
47,22,FBgn0035861 inheritance
17,11,FBgn0035861 inheritance
12,9,FBgn0035861 inheritance
39,19,FBgn0035861 inheritance
43,42,FBgn0035861 inheritance
0,16,FBgn0035861 Gresistance
0,14,FBgn0035861 Gresistance
2,27,FBgn0035861 Gresistance
2,60,FBgn0035861 Gresistance
3,16,FBgn0035861 Gresistance
2,71,FBgn0035861 Gresistance
3,56,FBgn0035861 Gresistance
0,43,FBgn0035861 Gresistance
5,58,FBgn0035861 Gresistance
0,61,FBgn0035861 Gresistance
0,10,FBgn0035861 Gresistance
0,34,FBgn0035861 Gresistance
1,44,FBgn0035861 Gresistance
0,44,FBgn0035861 Gresistance
0,31,FBgn0035861 Gresistance
2,29,FBgn0035861 Gresistance
3,30,FBgn0035861 Gresistance
0,21,FBgn0035861 Gresistance
2,8,FBgn0035861 Gresistance
0,18,FBgn0035861 Gresistance
1,41,FBgn0035861 Gresistance
62,41,FBgn0036654 inheritance
19,22,FBgn0036654 inheritance
13,7,FBgn0036654 inheritance
54,43,FBgn0036654 inheritance
20,18,FBgn0036654 inheritance
38,31,FBgn0036654 inheritance
35,18,FBgn0036654 inheritance
36,21,FBgn0036654 inheritance
10,7,FBgn0036654 inheritance
65,56,FBgn0036654 inheritance
60,28,FBgn0036654 inheritance
14,13,FBgn0036654 inheritance
15,18,FBgn0036654 inheritance
34,27,FBgn0036654 inheritance
32,32,FBgn0036654 inheritance
63,53,FBgn0036654 inheritance
26,26,FBgn0036654 inheritance
11,12,FBgn0036654 inheritance
59,32,FBgn0036654 inheritance
58,41,FBgn0036654 inheritance
50,48,FBgn0036654 inheritance
0,49,FBgn0036654 Gresistance
0,17,FBgn0036654 Gresistance
0,11,FBgn0036654 Gresistance
3,49,FBgn0036654 Gresistance
0,17,FBgn0036654 Gresistance
0,33,FBgn0036654 Gresistance
0,29,FBgn0036654 Gresistance
0,25,FBgn0036654 Gresistance
0,3,FBgn0036654 Gresistance
3,52,FBgn0036654 Gresistance
0,36,FBgn0036654 Gresistance
0,5,FBgn0036654 Gresistance
0,8,FBgn0036654 Gresistance
1,25,FBgn0036654 Gresistance
0,24,FBgn0036654 Gresistance
4,52,FBgn0036654 Gresistance
0,13,FBgn0036654 Gresistance
0,1,FBgn0036654 Gresistance
0,42,FBgn0036654 Gresistance
0,42,FBgn0036654 Gresistance
0,52,FBgn0036654 Gresistance
56,9,FBgn0036809 inheritance
43,3,FBgn0036809 inheritance
54,5,FBgn0036809 inheritance
70,2,FBgn0036809 inheritance
53,1,FBgn0036809 inheritance
62,9,FBgn0036809 inheritance
39,12,FBgn0036809 inheritance
24,4,FBgn0036809 inheritance
48,11,FBgn0036809 inheritance
10,5,FBgn0036809 inheritance
52,8,FBgn0036809 inheritance
17,1,FBgn0036809 inheritance
19,4,FBgn0036809 inheritance
46,6,FBgn0036809 inheritance
5,1,FBgn0036809 inheritance
33,2,FBgn0036809 inheritance
36,7,FBgn0036809 inheritance
68,9,FBgn0036809 inheritance
60,1,FBgn0036809 inheritance
69,1,FBgn0036809 inheritance
77,6,FBgn0036809 inheritance
60,8,FBgn0036809 inheritance
31,10,FBgn0036809 inheritance
43,0,FBgn0036809 inheritance
45,20,FBgn0036809 inheritance
19,3,FBgn0036809 inheritance
33,16,FBgn0036809 inheritance
46,11,FBgn0036809 inheritance
17,6,FBgn0036809 inheritance
34,6,FBgn0036809 inheritance
53,6,FBgn0036809 inheritance
69,8,FBgn0036809 inheritance
31,3,FBgn0036809 inheritance
4,31,FBgn0036809 Gresistance
1,19,FBgn0036809 Gresistance
3,30,FBgn0036809 Gresistance
0,39,FBgn0036809 Gresistance
0,25,FBgn0036809 Gresistance
2,32,FBgn0036809 Gresistance
5,21,FBgn0036809 Gresistance
3,5,FBgn0036809 Gresistance
3,18,FBgn0036809 Gresistance
1,0,FBgn0036809 Gresistance
3,26,FBgn0036809 Gresistance
0,4,FBgn0036809 Gresistance
0,11,FBgn0036809 Gresistance
1,27,FBgn0036809 Gresistance
0,0,FBgn0036809 Gresistance
0,13,FBgn0036809 Gresistance
4,18,FBgn0036809 Gresistance
6,34,FBgn0036809 Gresistance
0,34,FBgn0036809 Gresistance
1,37,FBgn0036809 Gresistance
3,46,FBgn0036809 Gresistance
4,36,FBgn0036809 Gresistance
4,10,FBgn0036809 Gresistance
0,14,FBgn0036809 Gresistance
12,26,FBgn0036809 Gresistance
1,11,FBgn0036809 Gresistance
7,14,FBgn0036809 Gresistance
4,20,FBgn0036809 Gresistance
1,8,FBgn0036809 Gresistance
2,16,FBgn0036809 Gresistance
3,21,FBgn0036809 Gresistance
0,32,FBgn0036809 Gresistance
0,11,FBgn0036809 Gresistance
15,2,FBgn0036809 embryo
10,1,FBgn0036809 embryo
10,1,FBgn0036809 embryo
16,0,FBgn0036809 embryo
16,3,FBgn0036809 embryo
11,3,FBgn0036809 embryo
10,1,FBgn0036809 embryo
13,0,FBgn0036809 embryo
20,0,FBgn0036809 embryo
5,1,FBgn0036809 embryo
12,0,FBgn0036809 embryo
5,0,FBgn0036809 embryo
5,0,FBgn0036809 embryo
10,0,FBgn0036809 embryo
1,0,FBgn0036809 embryo
11,1,FBgn0036809 embryo
6,2,FBgn0036809 embryo
11,1,FBgn0036809 embryo
12,2,FBgn0036809 embryo
20,1,FBgn0036809 embryo
13,0,FBgn0036809 embryo
12,0,FBgn0036809 embryo
9,1,FBgn0036809 embryo
13,1,FBgn0036809 embryo
9,0,FBgn0036809 embryo
2,0,FBgn0036809 embryo
7,1,FBgn0036809 embryo
13,1,FBgn0036809 embryo
6,1,FBgn0036809 embryo
10,2,FBgn0036809 embryo
16,1,FBgn0036809 embryo
17,0,FBgn0036809 embryo
8,0,FBgn0036809 embryo
33,25,FBgn0037296 inheritance
55,41,FBgn0037296 inheritance
51,46,FBgn0037296 inheritance
55,50,FBgn0037296 inheritance
4,1,FBgn0037296 inheritance
26,22,FBgn0037296 inheritance
30,37,FBgn0037296 inheritance
33,57,FBgn0037296 inheritance
10,19,FBgn0037296 inheritance
16,6,FBgn0037296 inheritance
13,12,FBgn0037296 inheritance
38,43,FBgn0037296 inheritance
35,33,FBgn0037296 inheritance
30,34,FBgn0037296 inheritance
39,48,FBgn0037296 inheritance
57,66,FBgn0037296 inheritance
19,15,FBgn0037296 inheritance
23,22,FBgn0037296 inheritance
39,26,FBgn0037296 inheritance
23,31,FBgn0037296 inheritance
67,66,FBgn0037296 inheritance
2,3,FBgn0037296 inheritance
41,49,FBgn0037296 inheritance
19,36,FBgn0037296 inheritance
46,51,FBgn0037296 inheritance
12,11,FBgn0037296 inheritance
10,10,FBgn0037296 inheritance
17,29,FBgn0037296 inheritance
63,55,FBgn0037296 inheritance
49,49,FBgn0037296 inheritance
22,25,FBgn0037296 inheritance
62,60,FBgn0037296 inheritance
56,46,FBgn0037296 inheritance
0,23,FBgn0037296 Gresistance
0,43,FBgn0037296 Gresistance
1,35,FBgn0037296 Gresistance
0,51,FBgn0037296 Gresistance
0,3,FBgn0037296 Gresistance
0,18,FBgn0037296 Gresistance
0,21,FBgn0037296 Gresistance
0,37,FBgn0037296 Gresistance
0,10,FBgn0037296 Gresistance
0,14,FBgn0037296 Gresistance
0,5,FBgn0037296 Gresistance
0,22,FBgn0037296 Gresistance
0,26,FBgn0037296 Gresistance
0,18,FBgn0037296 Gresistance
0,32,FBgn0037296 Gresistance
0,65,FBgn0037296 Gresistance
0,5,FBgn0037296 Gresistance
0,11,FBgn0037296 Gresistance
0,27,FBgn0037296 Gresistance
0,14,FBgn0037296 Gresistance
0,63,FBgn0037296 Gresistance
0,0,FBgn0037296 Gresistance
0,38,FBgn0037296 Gresistance
0,15,FBgn0037296 Gresistance
0,35,FBgn0037296 Gresistance
0,7,FBgn0037296 Gresistance
0,3,FBgn0037296 Gresistance
0,6,FBgn0037296 Gresistance
1,51,FBgn0037296 Gresistance
0,39,FBgn0037296 Gresistance
0,5,FBgn0037296 Gresistance
0,53,FBgn0037296 Gresistance
0,39,FBgn0037296 Gresistance
56,9,FBgn0038204 inheritance
43,10,FBgn0038204 inheritance
90,15,FBgn0038204 inheritance
21,11,FBgn0038204 inheritance
23,5,FBgn0038204 inheritance
55,19,FBgn0038204 inheritance
62,14,FBgn0038204 inheritance
55,10,FBgn0038204 inheritance
41,13,FBgn0038204 inheritance
72,19,FBgn0038204 inheritance
32,9,FBgn0038204 inheritance
29,2,FBgn0038204 inheritance
75,21,FBgn0038204 inheritance
29,4,FBgn0038204 inheritance
26,8,FBgn0038204 inheritance
61,8,FBgn0038204 inheritance
30,6,FBgn0038204 inheritance
19,4,FBgn0038204 inheritance
34,9,FBgn0038204 inheritance
13,4,FBgn0038204 inheritance
99,19,FBgn0038204 inheritance
55,20,FBgn0038204 inheritance
61,26,FBgn0038204 inheritance
53,19,FBgn0038204 inheritance
75,21,FBgn0038204 inheritance
73,21,FBgn0038204 inheritance
9,1,FBgn0038204 inheritance
16,6,FBgn0038204 inheritance
33,10,FBgn0038204 inheritance
72,32,FBgn0038204 inheritance
51,21,FBgn0038204 inheritance
30,15,FBgn0038204 inheritance
94,25,FBgn0038204 inheritance
16,9,FBgn0038204 inheritance
29,4,FBgn0038204 inheritance
64,10,FBgn0038204 inheritance
3,27,FBgn0038204 Gresistance
4,18,FBgn0038204 Gresistance
6,43,FBgn0038204 Gresistance
0,15,FBgn0038204 Gresistance
1,12,FBgn0038204 Gresistance
6,33,FBgn0038204 Gresistance
5,38,FBgn0038204 Gresistance
1,23,FBgn0038204 Gresistance
2,17,FBgn0038204 Gresistance
4,42,FBgn0038204 Gresistance
1,20,FBgn0038204 Gresistance
0,16,FBgn0038204 Gresistance
6,37,FBgn0038204 Gresistance
1,16,FBgn0038204 Gresistance
4,14,FBgn0038204 Gresistance
0,28,FBgn0038204 Gresistance
2,13,FBgn0038204 Gresistance
2,9,FBgn0038204 Gresistance
2,19,FBgn0038204 Gresistance
2,6,FBgn0038204 Gresistance
3,52,FBgn0038204 Gresistance
5,32,FBgn0038204 Gresistance
4,27,FBgn0038204 Gresistance
3,31,FBgn0038204 Gresistance
6,38,FBgn0038204 Gresistance
4,44,FBgn0038204 Gresistance
0,3,FBgn0038204 Gresistance
2,10,FBgn0038204 Gresistance
2,11,FBgn0038204 Gresistance
5,40,FBgn0038204 Gresistance
3,24,FBgn0038204 Gresistance
4,12,FBgn0038204 Gresistance
7,50,FBgn0038204 Gresistance
1,5,FBgn0038204 Gresistance
1,8,FBgn0038204 Gresistance
4,24,FBgn0038204 Gresistance
3,10,FBgn0038204 embryo
0,13,FBgn0038204 embryo
0,25,FBgn0038204 embryo
0,7,FBgn0038204 embryo
0,7,FBgn0038204 embryo
0,18,FBgn0038204 embryo
0,14,FBgn0038204 embryo
0,20,FBgn0038204 embryo
0,12,FBgn0038204 embryo
0,24,FBgn0038204 embryo
0,8,FBgn0038204 embryo
0,7,FBgn0038204 embryo
0,17,FBgn0038204 embryo
0,6,FBgn0038204 embryo
0,4,FBgn0038204 embryo
