Group 1,Group 2,Experiment
78,30,sp0F inheritance
13,7,sp0F inheritance
61,23,sp0F inheritance
17,14,sp0F inheritance
51,16,sp0M inheritance
72,33,sp0M inheritance
58,24,sp0M inheritance
9,8,sp0M inheritance
41,26,sp0M inheritance
91,38,sp0M inheritance
41,26,sp0M inheritance
77,44,sp0M inheritance
27,16,sp0M inheritance
29,10,sp0M inheritance
24,3,sp1F inheritance
69,17,sp1F inheritance
12,1,sp1F inheritance
78,19,sp1F inheritance
18,6,sp1F inheritance
65,15,sp1F inheritance
96,12,sp1F inheritance
84,12,sp1F inheritance
76,27,sp1M inheritance
132,47,sp1M inheritance
42,27,sp1M inheritance
34,17,sp1M inheritance
78,37,sp1M inheritance
129,22,sp1M inheritance
88,37,sp1M inheritance
13,3,sp1M inheritance
67,44,sp1M inheritance
107,51,sp1M inheritance
60,20,sp2F inheritance
43,16,sp2F inheritance
40,29,sp2F inheritance
50,16,sp2F inheritance
50,12,sp2F inheritance
57,34,sp2F inheritance
59,20,sp2F inheritance
71,22,sp2F inheritance
107,36,sp2M inheritance
1,1,sp2M inheritance
77,21,sp2M inheritance
60,28,sp2M inheritance
31,16,sp2M inheritance
60,25,sp2M inheritance
93,26,sp2M inheritance
31,4,sp2M inheritance
103,30,sp2M inheritance
54,12,sp2M inheritance
42,50,sp3_2F inheritance
42,73,sp3_2F inheritance
48,49,sp3_2F inheritance
71,70,sp3_2F inheritance
31,30,sp3_2F inheritance
53,43,sp3_2F inheritance
62,62,sp3_2F inheritance
59,55,sp3_2M inheritance
7,4,sp3_2M inheritance
38,21,sp3_2M inheritance
53,52,sp3_2M inheritance
53,60,sp3_2M inheritance
34,30,sp3_2M inheritance
15,9,sp3_2M inheritance
19,25,sp3_2M inheritance
54,16,sp3F inheritance
62,13,sp3F inheritance
106,26,sp3F inheritance
91,20,sp3F inheritance
69,12,sp3F inheritance
62,14,sp3F inheritance
54,10,sp3F inheritance
71,8,sp3F inheritance
66,15,sp3F inheritance
4,2,sp3F inheritance
28,8,sp3M inheritance
34,11,sp3M inheritance
81,19,sp3M inheritance
64,29,sp3M inheritance
64,23,sp3M inheritance
66,46,sp3M inheritance
19,4,sp3M inheritance
37,23,sp4F inheritance
39,36,sp4F inheritance
52,38,sp4F inheritance
32,31,sp4F inheritance
50,48,sp4F inheritance
8,6,sp4F inheritance
32,34,sp4F inheritance
61,59,sp4M inheritance
38,35,sp4M inheritance
76,61,sp4M inheritance
17,12,sp4M inheritance
53,42,sp4M inheritance
25,26,sp4M inheritance
43,40,sp4M inheritance
48,44,sp4M inheritance
55,51,sp4M inheritance
54,53,sp4M inheritance
45,44,sp5F inheritance
69,59,sp5F inheritance
38,43,sp5F inheritance
42,34,sp5F inheritance
52,38,sp5F inheritance
51,31,sp5F inheritance
32,33,sp5F inheritance
31,35,sp5F inheritance
28,23,sp5M inheritance
48,54,sp5M inheritance
12,10,sp5M inheritance
13,15,sp5M inheritance
40,23,sp5M inheritance
55,56,sp5M inheritance
3,2,sp5M inheritance
35,21,sp5M inheritance
23,16,sp5M inheritance
61,34,spLF inheritance
38,12,spLF inheritance
47,22,spLF inheritance
44,11,spLF inheritance
61,34,spLF inheritance
84,26,spLF inheritance
65,30,spLF inheritance
93,38,spLF inheritance
77,23,spLF inheritance
44,28,spLM inheritance
91,61,spLM inheritance
53,35,spLM inheritance
74,56,spLM inheritance
46,29,spLM inheritance
45,39,spLM inheritance
69,49,spLM inheritance
32,21,spLM inheritance
75,60,spLM inheritance
50,34,spLM inheritance
21,20,tejF inheritance
43,9,tejF inheritance
9,3,tejF inheritance
67,6,tejF inheritance
42,11,tejF inheritance
22,4,tejF inheritance
62,15,tejF inheritance
37,9,tejF inheritance
46,15,tejF inheritance
35,9,tejF inheritance
27,15,tejM inheritance
57,14,tejM inheritance
104,55,tejM inheritance
85,41,tejM inheritance
29,26,tejM inheritance
42,26,tejM inheritance
36,16,tejM inheritance
67,27,tejM inheritance
14,9,ubiF inheritance
118,13,ubiF inheritance
3,1,ubiF inheritance
1,0,ubiF inheritance
33,8,ubiF inheritance
24,36,ubiF inheritance
21,2,ubiF inheritance
20,7,ubiF inheritance
8,1,ubiF inheritance
62,0,ubiF inheritance
28,11,ubiF inheritance
51,16,ubiF inheritance
16,2,ubiF inheritance
59,16,ubiF inheritance
63,8,ubiF inheritance
